,year,female,male,Latitude,Longitude
Cyprus,2009,7,25,34.9174159,32.889902651331866
Cyprus,2010,8,30,34.9174159,32.889902651331866
Cyprus,2011,5,25,34.9174159,32.889902651331866
Cyprus,2012,2,34,34.9174159,32.889902651331866
Cyprus,2013,5,40,34.9174159,32.889902651331866
Cyprus,2014,13,31,34.9174159,32.889902651331866
Cyprus,2015,9,31,34.9174159,32.889902651331866
Cyprus,2016,5,31,34.9174159,32.889902651331866
Czech Republic,1990,563,1434,49.7439047,15.3381061
Czech Republic,1991,511,1393,49.7439047,15.3381061
Czech Republic,1992,506,1485,49.7439047,15.3381061
Czech Republic,1993,505,1412,49.7439047,15.3381061
Czech Republic,1994,531,1341,49.7439047,15.3381061
Czech Republic,1995,449,1284,49.7439047,15.3381061
Czech Republic,1996,362,1206,49.7439047,15.3381061
Czech Republic,1997,355,1311,49.7439047,15.3381061
Czech Republic,1998,345,1268,49.7439047,15.3381061
Czech Republic,1999,325,1285,49.7439047,15.3381061
Czech Republic,2000,351,1298,49.7439047,15.3381061
Czech Republic,2001,329,1294,49.7439047,15.3381061
Czech Republic,2002,318,1216,49.7439047,15.3381061
Czech Republic,2003,354,1365,49.7439047,15.3381061
Czech Republic,2004,297,1286,49.7439047,15.3381061
Czech Republic,2005,292,1273,49.7439047,15.3381061
Czech Republic,2006,258,1142,49.7439047,15.3381061
Czech Republic,2007,230,1149,49.7439047,15.3381061
Czech Republic,2008,256,1123,49.7439047,15.3381061
Czech Republic,2009,234,1230,49.7439047,15.3381061
Czech Republic,2010,257,1245,49.7439047,15.3381061
Czech Republic,2011,253,1337,49.7439047,15.3381061
Czech Republic,2012,278,1380,49.7439047,15.3381061
Czech Republic,2013,283,1294,49.7439047,15.3381061
Czech Republic,2014,293,1196,49.7439047,15.3381061
Czech Republic,2015,254,1133,49.7439047,15.3381061
Czech Republic,2016,258,1060,49.7439047,15.3381061
Denmark,1994,319,680,55.670249,10.3333283
Denmark,1995,299,625,55.670249,10.3333283
Denmark,1996,261,631,55.670249,10.3333283
Denmark,1997,257,560,55.670249,10.3333283
Denmark,1998,216,547,55.670249,10.3333283
Denmark,1999,199,563,55.670249,10.3333283
Denmark,2000,195,533,55.670249,10.3333283
Denmark,2001,220,507,55.670249,10.3333283
Denmark,2002,185,503,55.670249,10.3333283
Denmark,2003,153,480,55.670249,10.3333283
Denmark,2004,192,469,55.670249,10.3333283
Denmark,2005,174,457,55.670249,10.3333283
Denmark,2006,178,472,55.670249,10.3333283
Denmark,2007,180,401,55.670249,10.3333283
Denmark,2008,185,418,55.670249,10.3333283
Denmark,2009,145,477,55.670249,10.3333283
Denmark,2010,158,405,55.670249,10.3333283
Denmark,2011,152,437,55.670249,10.3333283
Denmark,2012,167,494,55.670249,10.3333283
Denmark,2013,160,450,55.670249,10.3333283
Denmark,2014,160,469,55.670249,10.3333283
Denmark,2015,174,390,55.670249,10.3333283
Dominica,1985,0,0,15.4113138,-61.3653618
Ecuador,1985,114,279,-1.3397668,-79.3666965
Ecuador,1986,131,246,-1.3397668,-79.3666965
Ecuador,1987,131,259,-1.3397668,-79.3666965
Ecuador,1988,142,324,-1.3397668,-79.3666965
Ecuador,1989,164,267,-1.3397668,-79.3666965
Ecuador,1990,153,295,-1.3397668,-79.3666965
Ecuador,1991,189,305,-1.3397668,-79.3666965
Ecuador,1992,172,333,-1.3397668,-79.3666965
Ecuador,1993,222,352,-1.3397668,-79.3666965
Ecuador,1994,171,341,-1.3397668,-79.3666965
Ecuador,1995,180,366,-1.3397668,-79.3666965
Ecuador,1996,197,396,-1.3397668,-79.3666965
Ecuador,1997,189,390,-1.3397668,-79.3666965
Ecuador,1998,173,373,-1.3397668,-79.3666965
Ecuador,1999,190,426,-1.3397668,-79.3666965
Ecuador,2000,163,371,-1.3397668,-79.3666965
Ecuador,2001,185,399,-1.3397668,-79.3666965
Ecuador,2002,180,397,-1.3397668,-79.3666965
Ecuador,2003,222,453,-1.3397668,-79.3666965
Ecuador,2004,236,555,-1.3397668,-79.3666965
Ecuador,2005,260,683,-1.3397668,-79.3666965
Ecuador,2006,298,602,-1.3397668,-79.3666965
Ecuador,2007,274,731,-1.3397668,-79.3666965
Ecuador,2008,255,673,-1.3397668,-79.3666965
Ecuador,2009,245,719,-1.3397668,-79.3666965
Ecuador,2010,254,658,-1.3397668,-79.3666965
Ecuador,2011,264,654,-1.3397668,-79.3666965
Ecuador,2012,265,711,-1.3397668,-79.3666965
Ecuador,2013,186,490,-1.3397668,-79.3666965
Ecuador,2014,167,567,-1.3397668,-79.3666965
Ecuador,2015,266,807,-1.3397668,-79.3666965
El Salvador,1990,196,375,13.8000382,-88.9140683
El Salvador,1991,154,320,13.8000382,-88.9140683
El Salvador,1992,147,272,13.8000382,-88.9140683
El Salvador,1993,152,272,13.8000382,-88.9140683
El Salvador,1995,202,418,13.8000382,-88.9140683
El Salvador,1996,168,372,13.8000382,-88.9140683
El Salvador,1997,198,379,13.8000382,-88.9140683
El Salvador,1998,167,345,13.8000382,-88.9140683
El Salvador,1999,169,346,13.8000382,-88.9140683
El Salvador,2000,142,319,13.8000382,-88.9140683
El Salvador,2001,152,362,13.8000382,-88.9140683
El Salvador,2002,132,304,13.8000382,-88.9140683
El Salvador,2003,139,388,13.8000382,-88.9140683
El Salvador,2004,115,349,13.8000382,-88.9140683
El Salvador,2005,118,337,13.8000382,-88.9140683
El Salvador,2006,118,293,13.8000382,-88.9140683
El Salvador,2007,112,389,13.8000382,-88.9140683
El Salvador,2008,116,374,13.8000382,-88.9140683
El Salvador,2009,113,393,13.8000382,-88.9140683
El Salvador,2010,95,304,13.8000382,-88.9140683
El Salvador,2011,118,367,13.8000382,-88.9140683
El Salvador,2012,116,396,13.8000382,-88.9140683
El Salvador,2013,98,386,13.8000382,-88.9140683
El Salvador,2014,108,278,13.8000382,-88.9140683
Estonia,1995,128,466,58.7523778,25.3319078
Estonia,1996,112,433,58.7523778,25.3319078
Estonia,1997,91,431,58.7523778,25.3319078
Estonia,1998,81,396,58.7523778,25.3319078
Estonia,1999,93,375,58.7523778,25.3319078
Estonia,2000,88,289,58.7523778,25.3319078
Estonia,2001,86,315,58.7523778,25.3319078
Estonia,2002,72,299,58.7523778,25.3319078
Estonia,2003,66,276,58.7523778,25.3319078
Estonia,2004,59,264,58.7523778,25.3319078
Estonia,2005,53,220,58.7523778,25.3319078
Estonia,2006,56,191,58.7523778,25.3319078
Estonia,2007,46,205,58.7523778,25.3319078
Estonia,2008,53,189,58.7523778,25.3319078
Estonia,2009,49,220,58.7523778,25.3319078
Estonia,2010,42,181,58.7523778,25.3319078
Estonia,2011,40,178,58.7523778,25.3319078
Estonia,2012,47,190,58.7523778,25.3319078
Estonia,2013,47,171,58.7523778,25.3319078
Estonia,2014,48,193,58.7523778,25.3319078
Estonia,2015,36,159,58.7523778,25.3319078
Fiji,2001,8,28,-18.1239696,179.0122737
Fiji,2002,16,26,-18.1239696,179.0122737
Fiji,2003,4,6,-18.1239696,179.0122737
Fiji,2004,8,16,-18.1239696,179.0122737
Fiji,2005,6,16,-18.1239696,179.0122737
Fiji,2006,9,15,-18.1239696,179.0122737
Fiji,2007,3,10,-18.1239696,179.0122737
Fiji,2008,12,25,-18.1239696,179.0122737
Fiji,2009,7,19,-18.1239696,179.0122737
Fiji,2011,8,30,-18.1239696,179.0122737
Fiji,2012,10,22,-18.1239696,179.0122737
Finland,1987,298,1065,63.2467777,25.9209164
Finland,1988,295,1107,63.2467777,25.9209164
Finland,1989,295,1118,63.2467777,25.9209164
Finland,1990,319,1193,63.2467777,25.9209164
Finland,1991,303,1190,63.2467777,25.9209164
Finland,1992,295,1156,63.2467777,25.9209164
Finland,1993,291,1106,63.2467777,25.9209164
Finland,1994,307,1080,63.2467777,25.9209164
Finland,1995,308,1080,63.2467777,25.9209164
Finland,1996,282,965,63.2467777,25.9209164
Finland,1997,284,1038,63.2467777,25.9209164
Finland,1998,266,962,63.2467777,25.9209164
Finland,1999,253,954,63.2467777,25.9209164
Finland,2000,292,873,63.2467777,25.9209164
Finland,2001,271,933,63.2467777,25.9209164
Finland,2002,271,824,63.2467777,25.9209164
Finland,2003,260,815,63.2467777,25.9209164
Finland,2004,252,812,63.2467777,25.9209164
Finland,2005,270,724,63.2467777,25.9209164
Finland,2006,259,803,63.2467777,25.9209164
Finland,2007,244,751,63.2467777,25.9209164
Finland,2008,232,801,63.2467777,25.9209164
Finland,2009,273,761,63.2467777,25.9209164
Finland,2010,236,718,63.2467777,25.9209164
Finland,2011,202,710,63.2467777,25.9209164
Finland,2012,218,655,63.2467777,25.9209164
Finland,2013,221,666,63.2467777,25.9209164
Finland,2014,190,599,63.2467777,25.9209164
Finland,2015,173,558,63.2467777,25.9209164
France,1985,3603,8898,46.603354,1.8883335
France,1986,3657,8872,46.603354,1.8883335
France,1987,3574,8587,46.603354,1.8883335
France,1988,3365,8234,46.603354,1.8883335
France,1989,3372,8343,46.603354,1.8883335
France,1990,3225,8178,46.603354,1.8883335
France,1991,3281,8221,46.603354,1.8883335
France,1992,3202,8442,46.603354,1.8883335
France,1993,3390,8861,46.603354,1.8883335
France,1994,3169,8872,46.603354,1.8883335
France,1995,3214,8605,46.603354,1.8883335
France,1996,3105,8174,46.603354,1.8883335
France,1997,3040,8099,46.603354,1.8883335
France,1998,2763,7771,46.603354,1.8883335
France,1999,2841,7427,46.603354,1.8883335
France,2000,2874,7975,46.603354,1.8883335
France,2001,2789,7660,46.603354,1.8883335
France,2002,2915,7728,46.603354,1.8883335
France,2003,2833,8038,46.603354,1.8883335
France,2004,2949,7855,46.603354,1.8883335
France,2005,2884,7829,46.603354,1.8883335
France,2006,2830,7593,46.603354,1.8883335
France,2007,2708,7419,46.603354,1.8883335
France,2008,2734,7619,46.603354,1.8883335
France,2009,2734,7765,46.603354,1.8883335
France,2010,2738,7641,46.603354,1.8883335
France,2011,2618,7790,46.603354,1.8883335
France,2012,2417,7326,46.603354,1.8883335
France,2013,2375,7225,46.603354,1.8883335
France,2014,2220,6661,46.603354,1.8883335
Georgia,1990,56,140,32.3293809,-83.1137366
Georgia,1991,51,123,32.3293809,-83.1137366
Georgia,1992,53,151,32.3293809,-83.1137366
Georgia,1994,33,90,32.3293809,-83.1137366
Georgia,1995,32,106,32.3293809,-83.1137366
Georgia,1996,38,124,32.3293809,-83.1137366
Georgia,1997,35,141,32.3293809,-83.1137366
Georgia,1998,30,118,32.3293809,-83.1137366
Georgia,1999,42,147,32.3293809,-83.1137366
Georgia,2000,28,102,32.3293809,-83.1137366
Georgia,2001,27,73,32.3293809,-83.1137366
Georgia,2004,28,147,32.3293809,-83.1137366
Georgia,2005,18,69,32.3293809,-83.1137366
Georgia,2006,13,59,32.3293809,-83.1137366
Georgia,2007,20,84,32.3293809,-83.1137366
Georgia,2009,39,149,32.3293809,-83.1137366
Georgia,2010,16,96,32.3293809,-83.1137366
Georgia,2011,15,84,32.3293809,-83.1137366
Georgia,2012,13,91,32.3293809,-83.1137366
Georgia,2013,23,134,32.3293809,-83.1137366
Georgia,2014,36,158,32.3293809,-83.1137366
Georgia,2015,48,144,32.3293809,-83.1137366
Germany,1990,4390,9534,40.4203479,-79.1166983
Germany,1991,4354,9656,40.4203479,-79.1166983
Germany,1992,4132,9326,40.4203479,-79.1166983
Germany,1993,3730,8960,40.4203479,-79.1166983
Germany,1994,3588,9130,40.4203479,-79.1166983
Germany,1995,3666,9222,40.4203479,-79.1166983
Germany,1996,3497,8728,40.4203479,-79.1166983
Germany,1997,3421,8835,40.4203479,-79.1166983
Germany,1998,3073,8581,40.4203479,-79.1166983
Germany,1999,3078,8082,40.4203479,-79.1166983
Germany,2000,2937,8136,40.4203479,-79.1166983
Germany,2001,2971,8196,40.4203479,-79.1166983
Germany,2002,3059,8117,40.4203479,-79.1166983
Germany,2003,2973,8182,40.4203479,-79.1166983
Germany,2004,2795,7946,40.4203479,-79.1166983
Germany,2005,2739,7531,40.4203479,-79.1166983
Germany,2006,2544,7231,40.4203479,-79.1166983
Germany,2007,2397,7012,40.4203479,-79.1166983
Germany,2008,2414,7045,40.4203479,-79.1166983
Germany,2009,2373,7206,40.4203479,-79.1166983
Germany,2010,2559,7471,40.4203479,-79.1166983
Germany,2011,2502,7651,40.4203479,-79.1166983
Germany,2012,2607,7289,40.4203479,-79.1166983
Germany,2013,2635,7456,40.4203479,-79.1166983
Germany,2014,2588,7629,40.4203479,-79.1166983
Germany,2015,2685,7403,40.4203479,-79.1166983
Greece,1985,128,277,43.2097838,-77.6930602
Greece,1986,101,292,43.2097838,-77.6930602
Greece,1987,114,296,43.2097838,-77.6930602
Greece,1988,115,288,43.2097838,-77.6930602
Greece,1989,105,278,43.2097838,-77.6930602
Greece,1990,78,271,43.2097838,-77.6930602
Greece,1991,84,297,43.2097838,-77.6930602
Greece,1992,72,279,43.2097838,-77.6930602
Greece,1993,104,308,43.2097838,-77.6930602
Greece,1994,74,281,43.2097838,-77.6930602
Greece,1995,64,306,43.2097838,-77.6930602
Greece,1996,62,294,43.2097838,-77.6930602
Greece,1997,55,319,43.2097838,-77.6930602
Greece,1998,88,315,43.2097838,-77.6930602
Greece,1999,85,296,43.2097838,-77.6930602
Greece,2000,84,298,43.2097838,-77.6930602
Greece,2001,48,286,43.2097838,-77.6930602
Greece,2002,66,257,43.2097838,-77.6930602
Greece,2003,69,306,43.2097838,-77.6930602
Greece,2004,68,285,43.2097838,-77.6930602
Greece,2005,79,321,43.2097838,-77.6930602
Greece,2006,68,326,43.2097838,-77.6930602
Greece,2007,60,268,43.2097838,-77.6930602
Greece,2008,65,308,43.2097838,-77.6930602
Greece,2009,58,333,43.2097838,-77.6930602
Greece,2010,41,336,43.2097838,-77.6930602
Greece,2011,84,393,43.2097838,-77.6930602
Greece,2012,91,417,43.2097838,-77.6930602
Greece,2013,108,425,43.2097838,-77.6930602
Greece,2014,115,450,43.2097838,-77.6930602
Greece,2015,107,422,43.2097838,-77.6930602
Grenada,1985,0,1,12.1360374,-61.6904045
Grenada,1988,1,3,12.1360374,-61.6904045
Grenada,1989,0,4,12.1360374,-61.6904045
Grenada,1990,0,2,12.1360374,-61.6904045
Grenada,1991,0,0,12.1360374,-61.6904045
Grenada,1992,0,0,12.1360374,-61.6904045
Grenada,1993,0,3,12.1360374,-61.6904045
Grenada,1994,0,4,12.1360374,-61.6904045
Grenada,1995,1,0,12.1360374,-61.6904045
Grenada,1996,0,1,12.1360374,-61.6904045
Grenada,2001,0,0,12.1360374,-61.6904045
Grenada,2002,0,0,12.1360374,-61.6904045
Grenada,2003,0,4,12.1360374,-61.6904045
Grenada,2004,0,1,12.1360374,-61.6904045
Grenada,2005,1,5,12.1360374,-61.6904045
Grenada,2006,0,1,12.1360374,-61.6904045
Grenada,2007,1,2,12.1360374,-61.6904045
Grenada,2008,0,0,12.1360374,-61.6904045
Grenada,2009,0,0,12.1360374,-61.6904045
Grenada,2010,0,0,12.1360374,-61.6904045
Grenada,2011,0,1,12.1360374,-61.6904045
Grenada,2012,0,2,12.1360374,-61.6904045
Grenada,2013,0,0,12.1360374,-61.6904045
Grenada,2014,0,0,12.1360374,-61.6904045
Grenada,2015,0,0,12.1360374,-61.6904045
Grenada,2016,0,0,12.1360374,-61.6904045
Guatemala,1986,36,167,15.5855545,-90.345759
Guatemala,1987,57,184,15.5855545,-90.345759
Guatemala,1988,31,143,15.5855545,-90.345759
Guatemala,1989,30,122,15.5855545,-90.345759
Guatemala,1990,27,131,15.5855545,-90.345759
Guatemala,1991,32,124,15.5855545,-90.345759
Guatemala,1992,38,135,15.5855545,-90.345759
Guatemala,1993,30,135,15.5855545,-90.345759
Guatemala,1994,20,122,15.5855545,-90.345759
Guatemala,1995,47,164,15.5855545,-90.345759
Guatemala,1996,33,124,15.5855545,-90.345759
Guatemala,1997,44,135,15.5855545,-90.345759
Guatemala,1998,45,156,15.5855545,-90.345759
Guatemala,1999,42,192,15.5855545,-90.345759
Guatemala,2000,40,142,15.5855545,-90.345759
Guatemala,2001,52,150,15.5855545,-90.345759
Guatemala,2002,64,194,15.5855545,-90.345759
Guatemala,2003,53,200,15.5855545,-90.345759
Guatemala,2004,66,184,15.5855545,-90.345759
Guatemala,2005,61,177,15.5855545,-90.345759
Guatemala,2006,71,227,15.5855545,-90.345759
Guatemala,2007,64,263,15.5855545,-90.345759
Guatemala,2008,121,371,15.5855545,-90.345759
Guatemala,2009,145,366,15.5855545,-90.345759
Guatemala,2010,82,270,15.5855545,-90.345759
Guatemala,2011,108,251,15.5855545,-90.345759
Guatemala,2012,110,310,15.5855545,-90.345759
Guatemala,2013,124,331,15.5855545,-90.345759
Guatemala,2014,156,356,15.5855545,-90.345759
Guatemala,2015,144,350,15.5855545,-90.345759
Guyana,1988,14,42,4.8417097,-58.6416891
Guyana,1989,26,68,4.8417097,-58.6416891
Guyana,1990,25,64,4.8417097,-58.6416891
Guyana,1991,29,76,4.8417097,-58.6416891
Guyana,1992,18,60,4.8417097,-58.6416891
Guyana,1993,15,57,4.8417097,-58.6416891
Guyana,1994,27,59,4.8417097,-58.6416891
Guyana,1995,22,77,4.8417097,-58.6416891
Guyana,1996,9,51,4.8417097,-58.6416891
Guyana,1997,4,36,4.8417097,-58.6416891
Guyana,1998,4,31,4.8417097,-58.6416891
Guyana,1999,42,121,4.8417097,-58.6416891
Guyana,2001,43,154,4.8417097,-58.6416891
Guyana,2002,34,142,4.8417097,-58.6416891
Guyana,2003,45,153,4.8417097,-58.6416891
Guyana,2004,48,138,4.8417097,-58.6416891
Guyana,2005,42,127,4.8417097,-58.6416891
Guyana,2006,50,151,4.8417097,-58.6416891
Guyana,2007,42,143,4.8417097,-58.6416891
Guyana,2008,44,124,4.8417097,-58.6416891
Guyana,2009,47,109,4.8417097,-58.6416891
Guyana,2010,49,156,4.8417097,-58.6416891
Guyana,2011,39,153,4.8417097,-58.6416891
Guyana,2012,50,156,4.8417097,-58.6416891
Guyana,2013,50,160,4.8417097,-58.6416891
Hungary,1991,1113,2880,41.9767629,-72.7789842
Hungary,1992,1061,2939,41.9767629,-72.7789842
Hungary,1993,979,2715,41.9767629,-72.7789842
Hungary,1994,898,2727,41.9767629,-72.7789842
Hungary,1995,891,2475,41.9767629,-72.7789842
Hungary,1996,916,2520,41.9767629,-72.7789842
Hungary,1997,825,2383,41.9767629,-72.7789842
Hungary,1998,777,2468,41.9767629,-72.7789842
Hungary,1999,778,2548,41.9767629,-72.7789842
Hungary,2000,806,2463,41.9767629,-72.7789842
Hungary,2001,696,2282,41.9767629,-72.7789842
Hungary,2002,647,2192,41.9767629,-72.7789842
Hungary,2003,640,2160,41.9767629,-72.7789842
Hungary,2004,655,2087,41.9767629,-72.7789842
Hungary,2005,593,2026,41.9767629,-72.7789842
Hungary,2006,600,1861,41.9767629,-72.7789842
Hungary,2007,571,1879,41.9767629,-72.7789842
Hungary,2008,566,1910,41.9767629,-72.7789842
Hungary,2009,559,1901,41.9767629,-72.7789842
Hungary,2010,547,1942,41.9767629,-72.7789842
Hungary,2011,574,1846,41.9767629,-72.7789842
Hungary,2012,546,1803,41.9767629,-72.7789842
Hungary,2013,505,1587,41.9767629,-72.7789842
Hungary,2014,447,1478,41.9767629,-72.7789842
Hungary,2015,479,1389,41.9767629,-72.7789842
Hungary,2016,446,1315,41.9767629,-72.7789842
Iceland,1985,7,25,64.9841821,-18.1059013
Iceland,1986,12,25,64.9841821,-18.1059013
Iceland,1987,14,22,64.9841821,-18.1059013
Iceland,1988,5,30,64.9841821,-18.1059013
Iceland,1989,6,16,64.9841821,-18.1059013
Iceland,1990,5,35,64.9841821,-18.1059013
Iceland,1991,8,29,64.9841821,-18.1059013
Iceland,1992,5,23,64.9841821,-18.1059013
Iceland,1993,7,19,64.9841821,-18.1059013
Iceland,1994,4,21,64.9841821,-18.1059013
Iceland,1995,5,22,64.9841821,-18.1059013
Iceland,1996,5,28,64.9841821,-18.1059013
Iceland,1997,7,26,64.9841821,-18.1059013
Iceland,1998,7,23,64.9841821,-18.1059013
Iceland,1999,7,24,64.9841821,-18.1059013
Iceland,2000,8,42,64.9841821,-18.1059013
Iceland,2001,8,28,64.9841821,-18.1059013
Iceland,2002,10,20,64.9841821,-18.1059013
Iceland,2003,6,20,64.9841821,-18.1059013
Iceland,2004,9,26,64.9841821,-18.1059013
Iceland,2005,9,24,64.9841821,-18.1059013
Iceland,2006,10,22,64.9841821,-18.1059013
Iceland,2007,7,30,64.9841821,-18.1059013
Iceland,2008,11,27,64.9841821,-18.1059013
Iceland,2009,7,29,64.9841821,-18.1059013
Iceland,2010,10,36,64.9841821,-18.1059013
Iceland,2011,5,22,64.9841821,-18.1059013
Iceland,2012,11,26,64.9841821,-18.1059013
Iceland,2013,14,35,64.9841821,-18.1059013
Iceland,2014,11,33,64.9841821,-18.1059013
Iceland,2015,11,29,64.9841821,-18.1059013
Iceland,2016,4,36,64.9841821,-18.1059013
Ireland,1985,60,216,52.865196,-7.9794599
Ireland,1986,67,215,52.865196,-7.9794599
Ireland,1987,60,185,52.865196,-7.9794599
Ireland,1988,71,195,52.865196,-7.9794599
Ireland,1989,65,213,52.865196,-7.9794599
Ireland,1990,83,251,52.865196,-7.9794599
Ireland,1991,63,282,52.865196,-7.9794599
Ireland,1992,58,304,52.865196,-7.9794599
Ireland,1993,67,259,52.865196,-7.9794599
Ireland,1994,90,304,52.865196,-7.9794599
Ireland,1995,83,320,52.865196,-7.9794599
Ireland,1996,63,345,52.865196,-7.9794599
Ireland,1997,90,376,52.865196,-7.9794599
Ireland,1998,73,425,52.865196,-7.9794599
Ireland,1999,82,342,52.865196,-7.9794599
Ireland,2000,82,381,52.865196,-7.9794599
Ireland,2001,79,409,52.865196,-7.9794599
Ireland,2002,81,368,52.865196,-7.9794599
Ireland,2003,96,358,52.865196,-7.9794599
Ireland,2004,74,390,52.865196,-7.9794599
Ireland,2005,88,363,52.865196,-7.9794599
Ireland,2006,80,372,52.865196,-7.9794599
Ireland,2007,96,362,52.865196,-7.9794599
Ireland,2008,120,386,52.865196,-7.9794599
Ireland,2009,105,422,52.865196,-7.9794599
Ireland,2010,100,386,52.865196,-7.9794599
Ireland,2011,96,458,52.865196,-7.9794599
Ireland,2012,96,446,52.865196,-7.9794599
Ireland,2013,96,391,52.865196,-7.9794599
Ireland,2014,87,399,52.865196,-7.9794599
Israel,1985,75,159,39.3181528,-79.8109014
Israel,1986,96,182,39.3181528,-79.8109014
Israel,1987,78,193,39.3181528,-79.8109014
Israel,1988,89,214,39.3181528,-79.8109014
Israel,1989,105,248,39.3181528,-79.8109014
Israel,1990,84,220,39.3181528,-79.8109014
Israel,1991,97,262,39.3181528,-79.8109014
Israel,1992,103,278,39.3181528,-79.8109014
Israel,1993,99,272,39.3181528,-79.8109014
Israel,1994,112,304,39.3181528,-79.8109014
Israel,1995,102,258,39.3181528,-79.8109014
Israel,1996,75,231,39.3181528,-79.8109014
Israel,1997,78,301,39.3181528,-79.8109014
Israel,1998,79,239,39.3181528,-79.8109014
Israel,1999,71,297,39.3181528,-79.8109014
Israel,2000,87,307,39.3181528,-79.8109014
Israel,2001,75,323,39.3181528,-79.8109014
Israel,2002,91,291,39.3181528,-79.8109014
Israel,2003,72,345,39.3181528,-79.8109014
Israel,2004,91,320,39.3181528,-79.8109014
Israel,2005,121,304,39.3181528,-79.8109014
Israel,2006,88,279,39.3181528,-79.8109014
Israel,2007,63,263,39.3181528,-79.8109014
Israel,2008,60,294,39.3181528,-79.8109014
Israel,2009,94,310,39.3181528,-79.8109014
Israel,2010,86,394,39.3181528,-79.8109014
Israel,2011,87,322,39.3181528,-79.8109014
Israel,2012,81,349,39.3181528,-79.8109014
Israel,2013,81,291,39.3181528,-79.8109014
Israel,2014,88,294,39.3181528,-79.8109014
Israel,2015,73,269,39.3181528,-79.8109014
Italy,1985,1388,3371,42.6384261,12.674297
Italy,1986,1398,3293,42.6384261,12.674297
Italy,1987,1253,3263,42.6384261,12.674297
Italy,1988,1286,3095,42.6384261,12.674297
Italy,1989,1218,3124,42.6384261,12.674297
Italy,1990,1221,3181,42.6384261,12.674297
Italy,1991,1247,3206,42.6384261,12.674297
Italy,1992,1204,3339,42.6384261,12.674297
Italy,1993,1181,3516,42.6384261,12.674297
Italy,1994,1125,3411,42.6384261,12.674297
Italy,1995,1139,3430,42.6384261,12.674297
Italy,1996,1231,3458,42.6384261,12.674297
Italy,1997,1147,3547,42.6384261,12.674297
Italy,1998,1056,3448,42.6384261,12.674297
Italy,1999,1010,3105,42.6384261,12.674297
Italy,2000,1046,3062,42.6384261,12.674297
Italy,2001,980,3050,42.6384261,12.674297
Italy,2002,924,3145,42.6384261,12.674297
Italy,2003,997,3078,42.6384261,12.674297
Italy,2004,940,3046,42.6384261,12.674297
Italy,2005,939,2803,42.6384261,12.674297
Italy,2006,859,2841,42.6384261,12.674297
Italy,2007,864,2893,42.6384261,12.674297
Italy,2008,907,2997,42.6384261,12.674297
Italy,2009,881,3093,42.6384261,12.674297
Italy,2010,861,3128,42.6384261,12.674297
Italy,2011,863,3290,42.6384261,12.674297
Italy,2012,933,3324,42.6384261,12.674297
Italy,2013,968,3322,42.6384261,12.674297
Italy,2014,932,3215,42.6384261,12.674297
Italy,2015,883,3105,42.6384261,12.674297
Jamaica,1985,2,6,18.1850507,-77.3947693
Jamaica,1986,0,1,18.1850507,-77.3947693
Jamaica,1987,3,10,18.1850507,-77.3947693
Jamaica,1988,2,3,18.1850507,-77.3947693
Jamaica,1989,0,0,18.1850507,-77.3947693
Jamaica,1990,0,3,18.1850507,-77.3947693
Jamaica,1991,0,1,18.1850507,-77.3947693
Jamaica,2000,0,3,18.1850507,-77.3947693
Jamaica,2001,1,4,18.1850507,-77.3947693
Jamaica,2002,0,2,18.1850507,-77.3947693
Jamaica,2003,1,1,18.1850507,-77.3947693
Jamaica,2004,0,1,18.1850507,-77.3947693
Jamaica,2005,8,43,18.1850507,-77.3947693
Jamaica,2006,0,0,18.1850507,-77.3947693
Jamaica,2009,3,33,18.1850507,-77.3947693
Jamaica,2010,0,3,18.1850507,-77.3947693
Jamaica,2011,6,44,18.1850507,-77.3947693
Japan,1985,8012,15245,36.5748441,139.2394179
Japan,1986,9134,16350,36.5748441,139.2394179
Japan,1987,8520,15143,36.5748441,139.2394179
Japan,1988,8490,14186,36.5748441,139.2394179
Japan,1989,8167,12846,36.5748441,139.2394179
Japan,1990,7754,12248,36.5748441,139.2394179
Japan,1991,7380,12400,36.5748441,139.2394179
Japan,1992,7360,13396,36.5748441,139.2394179
Japan,1993,6959,13394,36.5748441,139.2394179
Japan,1994,6852,13892,36.5748441,139.2394179
Japan,1995,7170,14079,36.5748441,139.2394179
Japan,1996,7266,14701,36.5748441,139.2394179
Japan,1997,7574,15706,36.5748441,139.2394179
Japan,1998,9380,22078,36.5748441,139.2394179
Japan,1999,8986,22129,36.5748441,139.2394179
Japan,2000,8574,21415,36.5748441,139.2394179
Japan,2001,8264,20868,36.5748441,139.2394179
Japan,2002,8248,21467,36.5748441,139.2394179
Japan,2003,8691,23190,36.5748441,139.2394179
Japan,2004,8270,21764,36.5748441,139.2394179
Japan,2005,8299,22070,36.5748441,139.2394179
Japan,2006,8486,21283,36.5748441,139.2394179
Japan,2007,8798,21867,36.5748441,139.2394179
Japan,2008,8668,21405,36.5748441,139.2394179
Japan,2009,8508,22015,36.5748441,139.2394179
Japan,2010,8506,20905,36.5748441,139.2394179
Japan,2011,8985,19781,36.5748441,139.2394179
Japan,2012,7936,18402,36.5748441,139.2394179
Japan,2013,7910,18081,36.5748441,139.2394179
Japan,2014,7537,16820,36.5748441,139.2394179
Japan,2015,6946,16146,36.5748441,139.2394179
Kazakhstan,1990,779,2393,48.1012954,66.7780818
